"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"5827","NP_775179","Q92540","reviewed","SMG7_HUMAN","Nonsense-mediated mRNA decay factor SMG7 (SMG-7 homolog) (hSMG-7)","SMG7 C1orf16 EST1C KIAA0250","Homo sapiens (Human)",1137
"5828","NP_775179","Q6TV06","unreviewed","Q6TV06_HUMAN","Breast cancer-associated antigen SGA-56M (Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans), isoform CRA_a)","SGA56M SMG7 hCG_39862","Homo sapiens (Human)",802
"5829","NP_060515","Q9NW68","reviewed","BSDC1_HUMAN","BSD domain-containing protein 1","BSDC1 UNQ2494/PRO5781","Homo sapiens (Human)",430
"5830","NP_060138","Q9NXR1","reviewed","NDE1_HUMAN","Nuclear distribution protein nudE homolog 1 (NudE)","NDE1 NUDE","Homo sapiens (Human)",335
"5831","NP_060138","X5DR54","unreviewed","X5DR54_HUMAN","Epididymis secretory sperm binding protein (NudE neurodevelopment protein 1 isoform B) (NudE nuclear distribution gene E homolog 1 (A. nidulans), isoform CRA_b)","NDE1 hCG_38895","Homo sapiens (Human)",335
"5832","NP_110435","Q9GZM8","reviewed","NDEL1_HUMAN","Nuclear distribution protein nudE-like 1 (Protein Nudel) (Mitosin-associated protein 1)","NDEL1 EOPA MITAP1 NUDEL","Homo sapiens (Human)",345
"5833","NP_001389","Q13011","reviewed","ECH1_HUMAN","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)","ECH1","Homo sapiens (Human)",328
"5834","NP_001389","A0A384MR44","unreviewed","A0A384MR44_HUMAN","Epididymis secretory sperm binding protein","","Homo sapiens (Human)",328
"5835","NP_076412","Q8IZ21","reviewed","PHAR4_HUMAN","Phosphatase and actin regulator 4","PHACTR4 PRO2963","Homo sapiens (Human)",702
"5836","NP_003892","O95470","reviewed","SGPL1_HUMAN","Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase)","SGPL1 KIAA1252","Homo sapiens (Human)",568
"5837","NP_055331","O75175","reviewed","CNOT3_HUMAN","CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2)","CNOT3 KIAA0691 LENG2 NOT3","Homo sapiens (Human)",753
"5838","NP_006691","O14545","reviewed","TRAD1_HUMAN","TRAF-type zinc finger domain-containing protein 1 (Protein FLN29)","TRAFD1 FLN29","Homo sapiens (Human)",582
"5839","NP_277047","Q86VY4","reviewed","TSYL5_HUMAN","Testis-specific Y-encoded-like protein 5 (TSPY-like protein 5)","TSPYL5 KIAA1750","Homo sapiens (Human)",417
"5840","NP_001123544","Q9Y6I3","reviewed","EPN1_HUMAN","Epsin-1 (EH domain-binding mitotic phosphoprotein) (EPS-15-interacting protein 1)","EPN1","Homo sapiens (Human)",576
"5841","NP_060427","Q9H201","reviewed","EPN3_HUMAN","Epsin-3 (EPS-15-interacting protein 3)","EPN3","Homo sapiens (Human)",632
"5842","NP_683723","O95208","reviewed","EPN2_HUMAN","Epsin-2 (EPS-15-interacting protein 2)","EPN2 KIAA1065","Homo sapiens (Human)",641
"5843","NP_055779","O95208","reviewed","EPN2_HUMAN","Epsin-2 (EPS-15-interacting protein 2)","EPN2 KIAA1065","Homo sapiens (Human)",641
"5844","NP_689725","Q8IYW4","reviewed","ENTD1_HUMAN","ENTH domain-containing protein 1 (Epsin-2B)","ENTHD1","Homo sapiens (Human)",607
"5845","NP_001159403","P31350","reviewed","RIR2_HUMAN","Ribonucleoside-diphosphate reductase subunit M2 (EC 1.17.4.1) (Ribonucleotide reductase small chain) (Ribonucleotide reductase small subunit)","RRM2 RR2","Homo sapiens (Human)",389
"5846","NP_056528","Q7LG56","reviewed","RIR2B_HUMAN","Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)","RRM2B P53R2","Homo sapiens (Human)",351
"5847","NP_056041","Q2KHT3","reviewed","CL16A_HUMAN","Protein CLEC16A (C-type lectin domain family 16 member A)","CLEC16A KIAA0350","Homo sapiens (Human)",1053
"5848","NP_001230332","Q2KHT3","reviewed","CL16A_HUMAN","Protein CLEC16A (C-type lectin domain family 16 member A)","CLEC16A KIAA0350","Homo sapiens (Human)",1053
"5849","NP_001216","P49662","reviewed","CASP4_HUMAN","Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit p10; Caspase-4 subunit p20]","CASP4 ICH2","Homo sapiens (Human)",377
"5850","NP_001129584","P51878","reviewed","CASP5_HUMAN","Caspase-5 (CASP-5) (EC 3.4.22.58) (ICE(rel)-III) (Protease ICH-3) (Protease TY) [Cleaved into: Caspase-5 subunit p20; Caspase-5 subunit p10]","CASP5 ICH3","Homo sapiens (Human)",434
"5851","NP_001096045","Q96RF0","reviewed","SNX18_HUMAN","Sorting nexin-18 (SH3 and PX domain-containing protein 3B)","SNX18 SH3PXD3B","Homo sapiens (Human)",628
"5852","NP_443102","Q96RF0","reviewed","SNX18_HUMAN","Sorting nexin-18 (SH3 and PX domain-containing protein 3B)","SNX18 SH3PXD3B","Homo sapiens (Human)",628
"5853","NP_002216","P26440","reviewed","IVD_HUMAN","Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase) (EC 1.3.8.1)","IVD","Homo sapiens (Human)",426
"5854","NP_002216","A0A0A0MT83","unreviewed","A0A0A0MT83_HUMAN","Isovaleryl-CoA dehydrogenase, mitochondrial (EC 1.3.8.1) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase)","IVD","Homo sapiens (Human)",423
"5855","NP_057068","Q9Y5K5","reviewed","UCHL5_HUMAN","Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)","UCHL5 UCH37 AD-019 CGI-70","Homo sapiens (Human)",329
"5856","NP_001186190","Q9Y5K5","reviewed","UCHL5_HUMAN","Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)","UCHL5 UCH37 AD-019 CGI-70","Homo sapiens (Human)",329
"5857","NP_003725","Q16853","reviewed","AOC3_HUMAN","Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1)","AOC3 VAP1","Homo sapiens (Human)",763
"5858","NP_003725","Q9UEU7","unreviewed","Q9UEU7_HUMAN","Placenta copper monamine oxidase","","Homo sapiens (Human)",64
"5859","NP_033720","O75106","reviewed","AOC2_HUMAN","Retina-specific copper amine oxidase (RAO) (EC 1.4.3.21) (Amine oxidase [copper-containing]) (Semicarbazide-sensitive amine oxidase) (SSAO)","AOC2","Homo sapiens (Human)",756
"5860","NP_003375","Q99986","reviewed","VRK1_HUMAN","Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)","VRK1","Homo sapiens (Human)",396
"5861","NP_001074012","Q8WUQ7","reviewed","CATIN_HUMAN","Splicing factor Cactin (Renal carcinoma antigen NY-REN-24)","CACTIN C19orf29","Homo sapiens (Human)",758
"5862","NP_057307","Q9UKS6","reviewed","PACN3_HUMAN","Protein kinase C and casein kinase substrate in neurons protein 3 (SH3 domain-containing protein 6511)","PACSIN3","Homo sapiens (Human)",424
"5863","NP_001121700","Q4KMQ1","reviewed","TPRN_HUMAN","Taperin","TPRN C9orf75","Homo sapiens (Human)",711
"5864","NP_001139490","Q5JTD0","reviewed","TJAP1_HUMAN","Tight junction-associated protein 1 (Protein incorporated later into tight junctions) (Tight junction protein 4)","TJAP1 PILT TJP4","Homo sapiens (Human)",557
"5865","NP_001139488","Q5JTD0","reviewed","TJAP1_HUMAN","Tight junction-associated protein 1 (Protein incorporated later into tight junctions) (Tight junction protein 4)","TJAP1 PILT TJP4","Homo sapiens (Human)",557
"5866","NP_005834","O75886","reviewed","STAM2_HUMAN","Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein)","STAM2 HBP","Homo sapiens (Human)",525
"5867","NP_003464","Q92783","reviewed","STAM1_HUMAN","Signal transducing adapter molecule 1 (STAM-1)","STAM STAM1","Homo sapiens (Human)",540
"5868","NP_061940","Q9NVN8","reviewed","GNL3L_HUMAN","Guanine nucleotide-binding protein-like 3-like protein","GNL3L","Homo sapiens (Human)",582
"5869","NP_057231","Q9Y570","reviewed","PPME1_HUMAN","Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.89)","PPME1 PME1 PP2593 PRO0750","Homo sapiens (Human)",386
"5870","NP_057231","A0A140VK39","unreviewed","A0A140VK39_HUMAN","Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.-)","","Homo sapiens (Human)",386
"5871","NP_002175","P40189","reviewed","IL6RB_HUMAN","Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)","IL6ST","Homo sapiens (Human)",918
"5872","NP_002175","Q17RA0","unreviewed","Q17RA0_HUMAN","Interleukin 6 signal transducer (Gp130, oncostatin M receptor)","IL6ST","Homo sapiens (Human)",918
"5873","NP_001171619","Q6UXI9","reviewed","NPNT_HUMAN","Nephronectin (Preosteoblast EGF-like repeat protein with MAM domain) (Protein EGFL6-like)","NPNT EGFL6L POEM UNQ295/PRO334","Homo sapiens (Human)",565
"5874","NP_001028219","Q6UXI9","reviewed","NPNT_HUMAN","Nephronectin (Preosteoblast EGF-like repeat protein with MAM domain) (Protein EGFL6-like)","NPNT EGFL6L POEM UNQ295/PRO334","Homo sapiens (Human)",565
"5875","NP_001171621","Q6UXI9","reviewed","NPNT_HUMAN","Nephronectin (Preosteoblast EGF-like repeat protein with MAM domain) (Protein EGFL6-like)","NPNT EGFL6L POEM UNQ295/PRO334","Homo sapiens (Human)",565
"5876","NP_055686","Q504Q3","reviewed","PAN2_HUMAN","PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (Inactive ubiquitin carboxyl-terminal hydrolase 52) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)","PAN2 KIAA0710 USP52","Homo sapiens (Human)",1202
"5877","NP_005198","P46109","reviewed","CRKL_HUMAN","Crk-like protein","CRKL","Homo sapiens (Human)",303
"5878","NP_060139","Q2NKX8","reviewed","ERC6L_HUMAN","DNA excision repair protein ERCC-6-like (EC 3.6.4.12) (ATP-dependent helicase ERCC6-like) (PLK1-interacting checkpoint helicase) (Tumor antigen BJ-HCC-15)","ERCC6L PICH","Homo sapiens (Human)",1250
"5879","NP_116764","P42575","reviewed","CASP2_HUMAN","Caspase-2 (CASP-2) (EC 3.4.22.55) (Neural precursor cell expressed developmentally down-regulated protein 2) (NEDD-2) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12]","CASP2 ICH1 NEDD2","Homo sapiens (Human)",452
"5880","NP_116764","A0A0S2Z3H1","unreviewed","A0A0S2Z3H1_HUMAN","Caspase 2 apoptosis-related cysteine peptidase isoform 1","CASP2","Homo sapiens (Human)",452
"5881","NP_054745","Q96C86","reviewed","DCPS_HUMAN","m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS)","DCPS DCS1 HINT5 HSPC015","Homo sapiens (Human)",337
"5882","NP_054745","A0A384MTI8","unreviewed","A0A384MTI8_HUMAN","m7GpppX diphosphatase (EC 3.6.1.59)","DCPS hCG_39127","Homo sapiens (Human)",337
"5883","NP_078894","Q86UT6","reviewed","NLRX1_HUMAN","NLR family member X1 (Caterpiller protein 11.3) (CLR11.3) (Nucleotide-binding oligomerization domain protein 5) (Nucleotide-binding oligomerization domain protein 9)","NLRX1 NOD5 NOD9","Homo sapiens (Human)",975
"5884","NP_038466","Q9UMX0","reviewed","UBQL1_HUMAN","Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)","UBQLN1 DA41 PLIC1","Homo sapiens (Human)",589
"5885","NP_444295","Q9UMX0","reviewed","UBQL1_HUMAN","Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)","UBQLN1 DA41 PLIC1","Homo sapiens (Human)",589
"5886","NP_064516","Q9NRR5","reviewed","UBQL4_HUMAN","Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)","UBQLN4 C1orf6 CIP75 UBIN","Homo sapiens (Human)",601
"5887","NP_038472","Q9UHD9","reviewed","UBQL2_HUMAN","Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2)","UBQLN2 N4BP4 PLIC2 HRIHFB2157","Homo sapiens (Human)",624
"5888","NP_059509","Q9H347","reviewed","UBQL3_HUMAN","Ubiquilin-3","UBQLN3","Homo sapiens (Human)",655
"5889","NP_059509","A0A140VJZ3","unreviewed","A0A140VJZ3_HUMAN","Testicular tissue protein Li 220 (Ubiquilin 3)","UBQLN3 hCG_1646956","Homo sapiens (Human)",655
"5890","NP_005556","Q13094","reviewed","LCP2_HUMAN","Lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76 kDa) (SLP-76 tyrosine phosphoprotein) (SLP76)","LCP2","Homo sapiens (Human)",533
"5891","NP_056170","Q15022","reviewed","SUZ12_HUMAN","Polycomb protein SUZ12 (Chromatin precipitated E2F target 9 protein) (ChET 9 protein) (Joined to JAZF1 protein) (Suppressor of zeste 12 protein homolog)","SUZ12 CHET9 JJAZ1 KIAA0160","Homo sapiens (Human)",739
"5892","NP_443094","Q6JBY9","reviewed","CPZIP_HUMAN","CapZ-interacting protein (Protein kinase substrate CapZIP) (RCSD domain-containing protein 1)","RCSD1 CAPZIP","Homo sapiens (Human)",416
"5893","NP_079012","P57764","reviewed","GSDMD_HUMAN","Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]","GSDMD DFNA5L GSDMDC1 FKSG10","Homo sapiens (Human)",484
"5894","NP_659731","P46734","reviewed","MP2K3_HUMAN","Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)","MAP2K3 MEK3 MKK3 PRKMK3 SKK2","Homo sapiens (Human)",347
"5895","NP_659731","Q6FI23","unreviewed","Q6FI23_HUMAN","MAP2K3 protein (Mitogen-activated protein kinase kinase 3 isoform B) (cDNA, FLJ96569, Homo sapiens mitogen-activated protein kinase kinase 3 (MAP2K3),transcript variant B, mRNA)","MAP2K3","Homo sapiens (Human)",347
"5896","NP_002747","P46734","reviewed","MP2K3_HUMAN","Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)","MAP2K3 MEK3 MKK3 PRKMK3 SKK2","Homo sapiens (Human)",347
"5897","NP_002749","P52564","reviewed","MP2K6_HUMAN","Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)","MAP2K6 MEK6 MKK6 PRKMK6 SKK3","Homo sapiens (Human)",334
"5898","NP_002749","A8K3Y2","unreviewed","A8K3Y2_HUMAN","Mitogen-activated protein kinase kinase 6 (Mitogen-activated protein kinase kinase 6, isoform CRA_b) (cDNA FLJ75671, highly similar to Homo sapiens mitogen-activated protein kinase kinase 6 (MAP2K6), transcript variant 1, mRNA)","MAP2K6 hCG_28772","Homo sapiens (Human)",334
"5899","NP_001003962","P04632","reviewed","CPNS1_HUMAN","Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)","CAPNS1 CAPN4 CAPNS","Homo sapiens (Human)",268
"5900","NP_115706","Q96L46","reviewed","CPNS2_HUMAN","Calpain small subunit 2 (CSS2) (Calcium-dependent protease small subunit 2)","CAPNS2","Homo sapiens (Human)",248
"5901","NP_001171867","Q9HCM4","reviewed","E41L5_HUMAN","Band 4.1-like protein 5 (Erythrocyte membrane protein band 4.1-like 5)","EPB41L5 KIAA1548","Homo sapiens (Human)",733
"5902","NP_065960","Q9HCM4","reviewed","E41L5_HUMAN","Band 4.1-like protein 5 (Erythrocyte membrane protein band 4.1-like 5)","EPB41L5 KIAA1548","Homo sapiens (Human)",733
"5903","NP_060894","Q9H329","reviewed","E41LB_HUMAN","Band 4.1-like protein 4B (Erythrocyte membrane protein band 4.1-like 4B) (FERM-containing protein CG1) (Protein EHM2)","EPB41L4B EHM2 LULU2","Homo sapiens (Human)",900
"5904","NP_060894","Q9NX84","unreviewed","Q9NX84_HUMAN","Erythrocyte membrane protein band 4.1 like 4B, isoform CRA_b (cDNA FLJ20381 fis, clone KAIA2329)","EPB41L4B hCG_1738334","Homo sapiens (Human)",440
"5905","NP_444504","Q92990","reviewed","GLMN_HUMAN","Glomulin (FK506-binding protein-associated protein) (FAP) (FKBP-associated protein)","GLMN FAP48 FAP68 VMGLOM","Homo sapiens (Human)",594
"5906","NP_001922","P10515","reviewed","ODP2_HUMAN","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)","DLAT DLTA","Homo sapiens (Human)",647
"5907","NP_001922","Q86YI5","unreviewed","Q86YI5_HUMAN","Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)","DLAT","Homo sapiens (Human)",647
"5908","NP_066923","Q9Y697","reviewed","NFS1_HUMAN","Cysteine desulfurase (EC 2.8.1.7)","NFS1 NIFS HUSSY-08","Homo sapiens (Human)",457
"5909","NP_066923","Q53FP3","unreviewed","Q53FP3_HUMAN","cysteine desulfurase (EC 2.8.1.7)","","Homo sapiens (Human)",457
"5910","NP_055566","O43312","reviewed","MTSS1_HUMAN","Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)","MTSS1 KIAA0429 MIM","Homo sapiens (Human)",755
"5911","NP_612392","Q765P7","reviewed","MTSS2_HUMAN","Protein MTSS 2 (Actin-bundling with BAIAP2 homology protein 1) (ABBA-1) (MTSS1-like protein)","MTSS2 MTSS1L","Homo sapiens (Human)",747
"5912","NP_005602","Q08999","reviewed","RBL2_HUMAN","Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (Retinoblastoma-related protein 2) (RBR-2) (pRb2)","RBL2 RB2","Homo sapiens (Human)",1139
"5913","NP_624311","Q8WUA2","reviewed","PPIL4_HUMAN","Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4)","PPIL4","Homo sapiens (Human)",492
"5914","NP_060230","Q86XI2","reviewed","CNDG2_HUMAN","Condensin-2 complex subunit G2 (Chromosome-associated protein G2) (CAP-G2) (hCAP-G2) (Leucine zipper protein 5) (Non-SMC condensin II complex subunit G2)","NCAPG2 LUZP5","Homo sapiens (Human)",1143
"5915","NP_078813","Q9HA77","reviewed","SYCM_HUMAN","Probable cysteine--tRNA ligase, mitochondrial (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)","CARS2 OK/SW-cl.10","Homo sapiens (Human)",564
"5916","NP_078813","B7Z7E6","unreviewed","B7Z7E6_HUMAN","cDNA FLJ58704, weakly similar to Cysteinyl-tRNA synthetase","","Homo sapiens (Human)",341
"5917","NP_071760","Q96KC8","reviewed","DNJC1_HUMAN","DnaJ homolog subfamily C member 1 (DnaJ protein homolog MTJ1)","DNAJC1 HTJ1","Homo sapiens (Human)",554
"5918","NP_006633","Q86SQ7","reviewed","SDCG8_HUMAN","Serologically defined colon cancer antigen 8 (Antigen NY-CO-8) (Centrosomal colon cancer autoantigen protein) (hCCCAP)","SDCCAG8 CCCAP NPHP10 HSPC085","Homo sapiens (Human)",713
"5919","NP_006704","P53999","reviewed","TCP4_HUMAN","Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)","SUB1 PC4 RPO2TC1","Homo sapiens (Human)",127
"5920","NP_006704","Q6IBA2","unreviewed","Q6IBA2_HUMAN","Activated RNA polymerase II transcriptional coactivator p15 (SUB1 homolog)","PC4 SUB1 hCG_1781938","Homo sapiens (Human)",127
"5921","NP_057195","Q9Y4R8","reviewed","TELO2_HUMAN","Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2)","TELO2 KIAA0683","Homo sapiens (Human)",837
"5922","NP_057195","B4DXS2","unreviewed","B4DXS2_HUMAN","cDNA FLJ58340","","Homo sapiens (Human)",431
"5923","NP_064575","Q9NRN5","reviewed","OLFL3_HUMAN","Olfactomedin-like protein 3 (HNOEL-iso) (hOLF44)","OLFML3 PSEC0035 PSEC0173 PSEC0244 UNQ663/PRO1294","Homo sapiens (Human)",406
"5924","NP_064575","M1LAK4","unreviewed","M1LAK4_HUMAN","Olfactomedin-like 3, isoform CRA_b (Olfactomedin-like protein 3)","OLFML3 hCG_38642","Homo sapiens (Human)",406
"5925","NP_114415","Q6P1N9","reviewed","TATD1_HUMAN","Deoxyribonuclease TATDN1 (EC 3.1.21.-) (Hepatocarcinoma high expression protein)","TATDN1 CDA11","Homo sapiens (Human)",297
"5926","NP_001139632","Q6P1N9","reviewed","TATD1_HUMAN","Deoxyribonuclease TATDN1 (EC 3.1.21.-) (Hepatocarcinoma high expression protein)","TATDN1 CDA11","Homo sapiens (Human)",297
"5927","NP_570602","P04217","reviewed","A1BG_HUMAN","Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)","A1BG","Homo sapiens (Human)",495
"5928","NP_570602","V9HWD8","unreviewed","V9HWD8_HUMAN","Epididymis secretory sperm binding protein Li 163pA","HEL-S-163pA","Homo sapiens (Human)",495
"5929","NP_002004","Q00688","reviewed","FKBP3_HUMAN","Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)","FKBP3 FKBP25","Homo sapiens (Human)",224
"5930","NP_055965","Q14699","reviewed","RFTN1_HUMAN","Raftlin (Cell migration-inducing gene 2 protein) (Raft-linking protein)","RFTN1 KIAA0084 MIG2","Homo sapiens (Human)",578
"5931","NP_055965","Q8N5I0","unreviewed","Q8N5I0_HUMAN","RFTN1 protein","RFTN1","Homo sapiens (Human)",563
"5932","NP_037415","Q9NZL9","reviewed","MAT2B_HUMAN","Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)","MAT2B TGR MSTP045 Nbla02999 UNQ2435/PRO4995","Homo sapiens (Human)",334
"5933","NP_037415","A0A140VJP2","unreviewed","A0A140VJP2_HUMAN","Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta)","","Homo sapiens (Human)",334
"5934","NP_060334","Q75QN2","reviewed","INT8_HUMAN","Integrator complex subunit 8 (Int8) (Protein kaonashi-1)","INTS8 C8orf52","Homo sapiens (Human)",995
"5935","NP_001099026","Q5TEJ8","reviewed","THMS2_HUMAN","Protein THEMIS2 (Induced by contact to basement membrane 1 protein) (Protein ICB-1) (Thymocyte-expressed molecule involved in selection protein 2)","THEMIS2 C1orf38 ICB1","Homo sapiens (Human)",643
"5936","NP_055752","Q9Y2H2","reviewed","SAC2_HUMAN","Phosphatidylinositide phosphatase SAC2 (EC 3.1.3.25) (Inositol polyphosphate 5-phosphatase F) (Sac domain-containing inositol phosphatase 2) (Sac domain-containing phosphoinositide 4-phosphatase 2) (hSAC2)","INPP5F KIAA0966 SAC2 MSTP007 MSTP047","Homo sapiens (Human)",1132
"5937","NP_060873","Q9NPI6","reviewed","DCP1A_HUMAN","mRNA-decapping enzyme 1A (EC 3.6.1.62) (Smad4-interacting transcriptional co-activator) (Transcription factor SMIF)","DCP1A SMIF","Homo sapiens (Human)",582
"5938","NP_438171","Q92828","reviewed","COR2A_HUMAN","Coronin-2A (IR10) (WD repeat-containing protein 2)","CORO2A IR10 WDR2","Homo sapiens (Human)",525
"5939","NP_438171","A8K9S3","unreviewed","A8K9S3_HUMAN","Coronin","","Homo sapiens (Human)",525
"5940","NP_002442","Q13126","reviewed","MTAP_HUMAN","S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)","MTAP MSAP","Homo sapiens (Human)",283
"5941","NP_002442","A0A384ME80","unreviewed","A0A384ME80_HUMAN","S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)","MTAP","Homo sapiens (Human)",283
"5942","NP_006107","Q15750","reviewed","TAB1_HUMAN","TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 1) (TGF-beta-activated kinase 1-binding protein 1) (TAK1-binding protein 1)","TAB1 MAP3K7IP1","Homo sapiens (Human)",504
"5943","NP_006107","A8K6K3","unreviewed","A8K6K3_HUMAN","Mitogen-activated protein kinase kinase kinase 7 interacting protein 1, isoform CRA_f (cDNA FLJ78598, highly similar to Homo sapiens mitogen-activated protein kinase kinase kinase 7 interacting protein 1 (MAP3K7IP1), transcript variant alpha, mRNA) (cDNA, FLJ92811, Homo sapiens mitogen-activated protein kinase kinase kinase 7interacting protein 1 (MAP3K7IP1), mRNA)","MAP3K7IP1 hCG_41717","Homo sapiens (Human)",504
